,body,title,url
0,"

QR Code Link to This Post


We are a small business and need someone that is comfortable with phone calls to clients, recruiting new network members (contractors) and run local errands. This is a work from home Part-time Temporary position. Having access to a reliable vehicle is preferred. Please respond to this ad with resume and/or brief description of your skills.    ",General Office Work & Recruiting - Part Time / Temporary - Remote,https://seattle.craigslist.org/see/cpg/d/bellevue-general-office-work-recruiting/7231978438.html
1,"

QR Code Link to This Post


[Above image from https://www.apple.com/mac/m1/ ]

Single mother preferred for Macintosh service business. Will train one or two candidates. Must be very intelligent, presentable and ambitious. Flexible gig includes troubleshooting client computers on-site and remotely, can earn daily cash while training. Lifetime independence possible, including ownership.

Since Apple’s brand-new “M1” machines are much faster, more secure, and thus a better value than Windows PCs, the Mac market will expand. Train now for a fine financial future, while working on our clients’ current machines.

Please include IQ, self-reliance, and goal achievement in your reply. Social media links optional.
",Single Mom to Train for Macintosh Business.,https://seattle.craigslist.org/see/cpg/d/seattle-single-mom-to-train-for/7231728565.html
2,"

QR Code Link to This Post


GET IN ON A GROUNDBREAKING BUSINESS !!!!!! I NEED MARKETING SALES PROS AND PHONE PROS/APPOINTMENT SETTERS ..MAKE BIG BUCKS..KEEP IN MIND 100% OF THE POPULATION NEEDS WHAT WE HAVE TO OFFER....   WE ARE THE FIRST !!!!!!!

 !! First let me say, I didn't start this business for the Coronavirus,  I  started it  14 months ago to help people with very serious Health issues, Asthma, allergies, all viruses and so much more !!!!  I just happen to have the only product in the World that has already been tested to Kill the Coronavirus, it was tested years ago to kill the Corona Sars virus, IT KILLS ALL VIRUSES IN .44 OF A SECOND, GUARANTEED !!!!!  (FACT)...  Sounds too good to be true, IT""S TRUE , this product produces what they call Cold Plasma, this is the only product in the world that has this type of technology that does amazing things with no chemicals and no filters to clean.  So much science behind it with certified proof that it works. I will explain it all when we talk. Please read the link I posted , This is only 1/2 of our business, the rest will be explained when we talk.                                                       This is a ground floor opportunity for a few top  people to get involved with the next big thing. We will be selling the product for homes and businesses, we also will be selling our service to do instant sterilization for business. Other companies are charging thousands to do chemical sterilization, we can do it for hundreds less with no Chemicals.  This will be a no brainer for very sharp smart salespeople.  NO SCAM or  BS.....   Please leave your contact info and a little about your sales background.   This position  commission paid, up to 50% , plus I will be giving equity shares to key people !!!!!    I also will be needing outside sales and phone pros. Work your own hour from home, full or part time.... http://sterilizeyourbed.com/PitchBook.pdf    VERY IMPORTANT INFO
Checkout our site www.sterilizeyourbed.com 
  WE WANT TO HELP BUSINESS OWNERS  GET THEIR BUSINESSES  OPEN, WE ARE OFFERING OUR SERVICE VERY REASONABLE TO FREE... OUR SERVICE CAN GUARANTEE THAT YOUR BUSINESS AND EMPLOYEES ARE PROTECTED     ",$$$$$$ OPPORTUNITY is KNOCKING 4 MARKETING PROS $$$$$$$$$$$$$,https://seattle.craigslist.org/see/cpg/d/seattle-opportunity-is-knocking/7231601359.html
3,"

QR Code Link to This Post


About me - very serious about this idea and willing to dedicate my time to it every day, 7 days a week and I am willing to work 10 or even more hours a day. I need a partner who is willing to do the same.

Everything about me is in my Linkedin - https://www.linkedin.com/in/georgiy-kharchenko-78a213162/

I am at the point of starting something new or getting a job as a product or project manager at a start-up in the Seattle area. I prefer to stay self employed.

Ideal partner needs to be able to dedicate as much time coding as me and willing to work through all the obstacles on the way. 

Another requirement, you need to have or be able to get an Amazon MWS developer account. Without an active and up to speed MWS account, it will not work. I failed to get one. Many organizations fail to do this as well.

Technologies I am using are Visual Studio 2019 - ASP.NET C# with .NET Framework 4.6 and SQL Server 2019 stored procedures. You need to be able to program C# and write SQL Server stored procedures code along with me. We will be using Github for the version control and Trello boards for the requirements.

Site will be hosted in IIS on Windows and SQL Server 2019. I do not want to change anything. It’s great with these technologies. I will set up everything. Site will be running on Amazon AWS EC2. I can configure that as well. So as far as technology, there will not be anything fancy like  .NET core or anything other than I mentioned above. There might be some lambda involved and it’s questionable.

If anything above sounds like you need to learn something, I am sorry, I do not have time for this. You need to know everything above and ready to get started right away. So please, do not waste time, if you are not familiar with something I mentioned, it will not work out. 

Currently there is one competitor that I know and it is in the inc 5000 as well as 50 fastest growing companies in the area. Their process is broken. There are A LOT of bugs in the web site, issues with speed, delivery and many other process problems that are not possible to fix, unless they'll rewrite their site “from scratch” again. I am one of their customers. I heard that there is an army of people that’s ready to move to someone else. It’s just nothing competitive on the market right now for these people to move over. I have experience on both ends. I know a lot about this product and what customers need.

Site must be straight forward and usable for the average person. I will be able to tell where it's getting complicated so we can make it easier.

You must be good with writing. You need to know how to create a “walk me through the web site” video over the site when the background is greyed out and it walks the user through. You will need to write a lot of text as well, basic how tos, faq, terms etc… I am not born here, so English is my 2nd language. I am trying my best to write better, but I will never be on the same level as someone who is born and educated in the English speaking country.

We will have to write everything from scratch, user registration, shopping cart and site functionality. 

Before we begin our conversation, you will need to sign a non compete. If I tell you what it is, I don’t want you or anyone you know to write this code without me. This is my project and I’d like to find partner(s). Our partnership will be 50/50 so both of us have equal rights. If we bring more partners in right from the start, everyone will have an equal vote in the business. We can have as many contributing members as needed. If you know people who can help us speed things up, great! 

We will open a new LLC in DE state and bank account, where both of us or all partners will have access. All expenses that are required will need to be deposited to this bank account equally. Everything will be fair and we will have an accountant do the work. 

Obstacles that I am not able to bypass and that’s the major reasons why I need you:

I need you to be able to get an Amazon MWS developer account with ability to register and display apps in Amazon. That’s required. You need to have experience building apps for Amazon MWS in C#. That’s what is stopping me from moving forward and looking for a partner. Amazon MWS is a “black box” and many companies are having issues with it. Without Amazon MWS, we have no chance of competing with others. I need you to either have active and working MWS or be able to get one. Before we discuss anything else, I need you to show me your Amazon MWS active developer account.

Another obstacle is Walmart. I need you to be able or have an already working Walmart developer account and understand what to do with it. Walmart is full of bugs that are not being fixed for a few years now.
You need to be able to work with already or figure out eBay API as well.


You need to have some budget. We will have to split expenses - AWS hosting, s3 storage, traffic, servers, advertising etc… The best part is that it is not a lot at the beginning and after it's up and running, we will estimate the expense per customer and there will be profit starting day one. We will increase the capacity and create new modules as the company grows. There are plenty of growth opportunities. This company will be on NASDAQ if we put our minds into it.

We will need a designer, someone to create graphics and front end HTML for the project. I am not a designer and I do not know anybody. We will need to find a 3rd party consultant who will create a layout in Photoshop, slice images and apply these graphics to our .NET controls. 

Another expense will be advertising. The best advertising will be via Facebook. Expense on creating a visual is around $50 and I am thinking about finding a good advertising platform at $0.30 per click or so and spending $40 on customer acquisition. If we spend let’s say additional $50 per month per client on AWS, we will be making on average $100 per month per customer the first month and $150 per month after (that’s minimum, I used to pay $700 per month). Customer retention is the most important part and they will stay if we create a better platform compared to others. 

We can get chat reps, 24/7, live, to answer customer concerns at $3-$5 per hour in the Philippines.

If you agree to everything above, contact me ASAP and we can get started. It will take 2 programmers about 6-8 months to create and the opportunity to make money is endless.    ","Looking for partner to start new business (C#, SQL Server)",https://seattle.craigslist.org/see/cpg/d/seattle-looking-for-partner-to-start/7231504942.html
4,"

QR Code Link to This Post


Hi!  I have a console app which was developed by someone who is no longer here.  This app connects to an external SQL table and reads some records, and then based on what it finds it then creates records in on-premise MS Dynamics CRM using the using Microsoft.Xrm.Client and Microsoft.Xrm.Sdk, etc.  This app used to work but it stopped working.  I've gone as far as I can go and I don't have someone available in house who can look at it.  Do you have experience with this client/sdk?  If so please ping me and give me some details and maybe you can help me?   I'll walk you through it remotely and then we will discuss how to proceed.   Email me.  Thanks!    ",Experienced with Microsoft.Xrm.Client/Sdk?  Help me?,https://seattle.craigslist.org/see/cpg/d/seattle-experienced-with/7231455326.html
5,"

QR Code Link to This Post


Hi!  I need a script in powershell which can take some data from an external database and then create an entity record in powershell using that data.  I almost make it work but then hit an issue that's beyond my privative hacking skills.  Can you help me?  Does this look familiar?  Email me.  Thanks!

$connectionString = ""AuthType=Office365;Username=(my username); Password=(my password);Url=(my on premise url)""

$global:conn =  New-Object Microsoft.Xrm.Tooling.Connector.CrmServiceClient -ArgumentList $connectionString

some stuff goes here

$result = $conn.CreateNewRecord($EntityLogicalName, $newfields, $null, $false, [Guid]::Empty)    ","Powershell + Dynamics CRM, need a script",https://seattle.craigslist.org/see/cpg/d/seattle-powershell-dynamics-crm-need/7230323379.html
6,"

QR Code Link to This Post


Clean Pro Gutter Cleaning wants to work with You!
Compensation:  Average is $85+ per job and pocket 100% of the tips. So it's possible to make up to $40 / hour+.
Truck and Ladder:  Clean Pro is looking for good guys & gals with a truck and ladder to join our selective community of vendors who provide on-demand work for all gutter cleaning needs.  Join the best service provider around. Be your own boss and enjoy unlimited earning potential.
https://www.cleanproguttercleaning.com/vendor-application/.
Why Work With Clean Pro?

Make great money - Earn supplemental income on your own time. 
Be your own boss - As an independent contractor you work when YOU want, as much as YOU want, all on YOUR terms. We love guys that have flexibility and plenty of availability!
Work with great people - Customers who use Clean Pro are very thankful that you've solved their problem and when you do a great job you get to come back. You finish a job knowing you've really helped someone AND you got paid to do it!
Work is AVAILABLE in the area!

The Basic Requirements

You own a truck in good, reliable working order.
You own a ladder at least 28’ long 
You own the tools for cleaning (hoses & nozzles, buckets,trash bags, etc)
You own a smartphone with a good data plan.

Due to high demand, we're currently looking for people immediately in your area, so if you're interested in making great money, the freedom to call the shots, work flexibility and being a part of a network of great people while delivering great customer service then Clean Pro is for you!
https://www.cleanproguttercleaning.com/vendor-application/
If you have any question for us, we'd be glad to chat with you via our Facebook page messenger below:
https://www.facebook.com/Cleaning-Subcontractors-Employment-HUB-1787596974633518/
",URGENT! Hiring Contractors!! For EVERETT WA,https://seattle.craigslist.org/see/cpg/d/lake-stevens-urgent-hiring-contractors/7230028196.html
7,"

QR Code Link to This Post


We are Digital Marketing Agency and we are looking for a one-time assignment to be completed.
There is potential for more work if this task is completed successfully.

You don't need any experience but we have a few requirements:
- Must have a computer with internet
- Basic understanding of Gmail
- Must live in the city of Seattle, OR

We will call you for a brief interview and confirm you are a real person.

If you're interested, please reply to this ad. Thank you!    ",Work from home,https://seattle.craigslist.org/see/cpg/d/seattle-work-from-home/7229909450.html
8,"

QR Code Link to This Post


Please have the following attitudes and attributes:

1. Positive, happy, joyful, healthy
2. Skilled in office organization and navigation
3. Experienced ad poster
4. Great communicator
5. Accurate data entry
6. Experienced with customer service emails and phones
7. Able to self supervise
8. Competent enough to run the company, humble enough to do the dishes.
9. Able to start today!
Position can be part or full time.
Please respond with brief letter of introduction, resume, and contact phone number for immediate interview.    ",Office admin/marketing helper needed!,https://seattle.craigslist.org/oly/cpg/d/tenino-office-admin-marketing-helper/7229811611.html
9,"

QR Code Link to This Post


We are a user research company specializing in market research and usability testing, and we're looking for participants for an upcoming paid user research study!

Right now we are seeking Software/Engineering Dev team managers to give us their feedback in an online, remote study. Your opinion is valuable! Share it with us in a 60-minute session and get paid $150--just for your time.

If interested, respond to this ad with an answer to the following:

-How many people are on your team?
-How long have you been a team manager?

(Only complete, coherent answers will be considered. Thank you!)

",PAID research study for Software/Engineering Dev Team Managers,https://seattle.craigslist.org/see/cpg/d/seattle-paid-research-study-for/7229688087.html
